"BehaviorSpace results (NetLogo 6.0)"
"diffusion.nlogo"
"experiment"
"04/08/2019 21:48:53:577 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","rewiring-proportion","infect-seed-neighbors","number-of-nodes","average-node-degree","threshold-value","[step]","count turtles with [color = green]"
"5","0","true","500","4","1","70","285"
"2","0","true","500","4","1","53","217"
"8","0","true","500","4","1","26","109"
"4","0","true","500","4","1","31","129"
"3","0","true","500","4","1","44","181"
"5","0","true","500","4","1","71","289"
"6","0","true","500","4","1","28","117"
"3","0","true","500","4","1","45","185"
"4","0","true","500","4","1","32","133"
"5","0","true","500","4","1","72","293"
"7","0","true","500","4","1","25","105"
"2","0","true","500","4","1","54","221"
"6","0","true","500","4","1","29","121"
"3","0","true","500","4","1","46","189"
"5","0","true","500","4","1","73","297"
"4","0","true","500","4","1","33","137"
"2","0","true","500","4","1","55","225"
"5","0","true","500","4","1","74","301"
"3","0","true","500","4","1","47","193"
"6","0","true","500","4","1","30","125"
"7","0","true","500","4","1","26","109"
"4","0","true","500","4","1","34","141"
"2","0","true","500","4","1","56","229"
"5","0","true","500","4","1","75","305"
"8","0","true","500","4","1","27","113"
"3","0","true","500","4","1","48","197"
"4","0","true","500","4","1","35","145"
"6","0","true","500","4","1","31","129"
"7","0","true","500","4","1","27","113"
"5","0","true","500","4","1","76","309"
"3","0","true","500","4","1","49","201"
"2","0","true","500","4","1","57","233"
"4","0","true","500","4","1","36","149"
"5","0","true","500","4","1","77","313"
"3","0","true","500","4","1","50","205"
"6","0","true","500","4","1","32","133"
"7","0","true","500","4","1","28","117"
"2","0","true","500","4","1","58","237"
"5","0","true","500","4","1","78","317"
"4","0","true","500","4","1","37","153"
"3","0","true","500","4","1","51","209"
"6","0","true","500","4","1","33","137"
"5","0","true","500","4","1","79","321"
"7","0","true","500","4","1","29","121"
"3","0","true","500","4","1","52","213"
"4","0","true","500","4","1","38","157"
"2","0","true","500","4","1","59","241"
"5","0","true","500","4","1","80","325"
"3","0","true","500","4","1","53","217"
"6","0","true","500","4","1","34","141"
"2","0","true","500","4","1","60","245"
"4","0","true","500","4","1","39","161"
"7","0","true","500","4","1","30","125"
"8","0","true","500","4","1","28","117"
"5","0","true","500","4","1","81","329"
"3","0","true","500","4","1","54","221"
"2","0","true","500","4","1","61","249"
"6","0","true","500","4","1","35","145"
"4","0","true","500","4","1","40","165"
"8","0","true","500","4","1","29","121"
"5","0","true","500","4","1","82","333"
"7","0","true","500","4","1","31","129"
"2","0","true","500","4","1","62","253"
"3","0","true","500","4","1","55","225"
"4","0","true","500","4","1","41","169"
"5","0","true","500","4","1","83","337"
"6","0","true","500","4","1","36","149"
"3","0","true","500","4","1","56","229"
"2","0","true","500","4","1","63","257"
"8","0","true","500","4","1","30","125"
"7","0","true","500","4","1","32","133"
"5","0","true","500","4","1","84","341"
"4","0","true","500","4","1","42","173"
"6","0","true","500","4","1","37","153"
"3","0","true","500","4","1","57","233"
"5","0","true","500","4","1","85","345"
"2","0","true","500","4","1","64","261"
"7","0","true","500","4","1","33","137"
"4","0","true","500","4","1","43","177"
"3","0","true","500","4","1","58","237"
"5","0","true","500","4","1","86","349"
"8","0","true","500","4","1","31","129"
"2","0","true","500","4","1","65","265"
"6","0","true","500","4","1","38","157"
"5","0","true","500","4","1","87","353"
"4","0","true","500","4","1","44","181"
"3","0","true","500","4","1","59","241"
"7","0","true","500","4","1","34","141"
"2","0","true","500","4","1","66","269"
"8","0","true","500","4","1","32","133"
"3","0","true","500","4","1","60","245"
"6","0","true","500","4","1","39","161"
"5","0","true","500","4","1","88","357"
"4","0","true","500","4","1","45","185"
"2","0","true","500","4","1","67","273"
"7","0","true","500","4","1","35","145"
"5","0","true","500","4","1","89","361"
"3","0","true","500","4","1","61","249"
"4","0","true","500","4","1","46","189"
"6","0","true","500","4","1","40","165"
"2","0","true","500","4","1","68","277"
"5","0","true","500","4","1","90","365"
"7","0","true","500","4","1","36","149"
"3","0","true","500","4","1","62","253"
"4","0","true","500","4","1","47","193"
"2","0","true","500","4","1","69","281"
"6","0","true","500","4","1","41","169"
"7","0","true","500","4","1","37","153"
"3","0","true","500","4","1","63","257"
"5","0","true","500","4","1","91","369"
"4","0","true","500","4","1","48","197"
"3","0","true","500","4","1","64","261"
"6","0","true","500","4","1","42","173"
"5","0","true","500","4","1","92","373"
"2","0","true","500","4","1","70","285"
"4","0","true","500","4","1","49","201"
"3","0","true","500","4","1","65","265"
"5","0","true","500","4","1","93","377"
"6","0","true","500","4","1","43","177"
"4","0","true","500","4","1","50","205"
"5","0","true","500","4","1","94","381"
"3","0","true","500","4","1","66","269"
"4","0","true","500","4","1","51","209"
"6","0","true","500","4","1","44","181"
"5","0","true","500","4","1","95","385"
"3","0","true","500","4","1","67","273"
"8","0","true","500","4","1","33","137"
"7","0","true","500","4","1","38","157"
"4","0","true","500","4","1","52","213"
"8","0","true","500","4","1","34","141"
"6","0","true","500","4","1","45","185"
"4","0","true","500","4","1","53","217"
"8","0","true","500","4","1","35","145"
"4","0","true","500","4","1","54","221"
"6","0","true","500","4","1","46","189"
"2","0","true","500","4","1","71","289"
"8","0","true","500","4","1","36","149"
"4","0","true","500","4","1","55","225"
"6","0","true","500","4","1","47","193"
"5","0","true","500","4","1","96","389"
"3","0","true","500","4","1","68","277"
"8","0","true","500","4","1","37","153"
"7","0","true","500","4","1","39","161"
"4","0","true","500","4","1","56","229"
"6","0","true","500","4","1","48","197"
"8","0","true","500","4","1","38","157"
"1","0","true","500","4","1","1","9"
"4","0","true","500","4","1","57","233"
"2","0","true","500","4","1","72","293"
"5","0","true","500","4","1","97","393"
"3","0","true","500","4","1","69","281"
"8","0","true","500","4","1","39","161"
"7","0","true","500","4","1","40","165"
"6","0","true","500","4","1","49","201"
"4","0","true","500","4","1","58","237"
"8","0","true","500","4","1","40","165"
"6","0","true","500","4","1","50","205"
"4","0","true","500","4","1","59","241"
"8","0","true","500","4","1","41","169"
"2","0","true","500","4","1","73","297"
"5","0","true","500","4","1","98","397"
"4","0","true","500","4","1","60","245"
"6","0","true","500","4","1","51","209"
"3","0","true","500","4","1","70","285"
"8","0","true","500","4","1","42","173"
"4","0","true","500","4","1","61","249"
"7","0","true","500","4","1","41","169"
"2","0","true","500","4","1","74","301"
"6","0","true","500","4","1","52","213"
"5","0","true","500","4","1","99","401"
"8","0","true","500","4","1","43","177"
"4","0","true","500","4","1","62","253"
"6","0","true","500","4","1","53","217"
"2","0","true","500","4","1","75","305"
"3","0","true","500","4","1","71","289"
"5","0","true","500","4","1","100","405"
"8","0","true","500","4","1","44","181"
"7","0","true","500","4","1","42","173"
"4","0","true","500","4","1","63","257"
"6","0","true","500","4","1","54","221"
"3","0","true","500","4","1","72","293"
"8","0","true","500","4","1","45","185"
"2","0","true","500","4","1","76","309"
"5","0","true","500","4","1","101","409"
"6","0","true","500","4","1","55","225"
"7","0","true","500","4","1","43","177"
"8","0","true","500","4","1","46","189"
"3","0","true","500","4","1","73","297"
"2","0","true","500","4","1","77","313"
"5","0","true","500","4","1","102","413"
"6","0","true","500","4","1","56","229"
"7","0","true","500","4","1","44","181"
"3","0","true","500","4","1","74","301"
"8","0","true","500","4","1","47","193"
"5","0","true","500","4","1","103","417"
"2","0","true","500","4","1","78","317"
"6","0","true","500","4","1","57","233"
"5","0","true","500","4","1","104","421"
"3","0","true","500","4","1","75","305"
"7","0","true","500","4","1","45","185"
"8","0","true","500","4","1","48","197"
"2","0","true","500","4","1","79","321"
"6","0","true","500","4","1","58","237"
"5","0","true","500","4","1","105","425"
"3","0","true","500","4","1","76","309"
"8","0","true","500","4","1","49","201"
"7","0","true","500","4","1","46","189"
"2","0","true","500","4","1","80","325"
"5","0","true","500","4","1","106","429"
"3","0","true","500","4","1","77","313"
"6","0","true","500","4","1","59","241"
"8","0","true","500","4","1","50","205"
"2","0","true","500","4","1","81","329"
"7","0","true","500","4","1","47","193"
"5","0","true","500","4","1","107","433"
"3","0","true","500","4","1","78","317"
"6","0","true","500","4","1","60","245"
"8","0","true","500","4","1","51","209"
"5","0","true","500","4","1","108","437"
"2","0","true","500","4","1","82","333"
"7","0","true","500","4","1","48","197"
"6","0","true","500","4","1","61","249"
"3","0","true","500","4","1","79","321"
"8","0","true","500","4","1","52","213"
"5","0","true","500","4","1","109","441"
"2","0","true","500","4","1","83","337"
"7","0","true","500","4","1","49","201"
